Date,stereoTop,rgb_geotiff,Complete,,rulemonitor,Complete,,Scans,Fullfields,Traits in BETY?,Notes,
,/data/terraref/sites/ua-mac/raw_data/stereoTop,/data/terraref/sites/ua-mac/Level_1/rgb_geotiff,,,,,,,,,,
2018-05-01,9262,9197,0.993,,9075,0.987,,,yes,,,
2018-05-02,9104,9032,0.992,,9032,1.000,,,yes,,,
2018-05-03,9094,9042,0.994,,8986,0.994,,,yes,,,
2018-05-04,9284,9283,1.000,,9283,1.000,,,yes,,,
2018-05-05,9103,8934,0.981,,8934,1.000,,,yes,,,
2018-05-06,9102,9101,1.000,,9051,0.995,,,yes,,Resubmit all stereoTop files to rulechecker,
2018-05-07,9096,7398,0.813,,7398,1.000,,,yes,,Resubmit all stereoTop files to rulechecker,no 0 byte files
2018-05-08,9085,9081,1.000,,9081,1.000,,,yes,,,
2018-05-09,9062,9058,1.000,,9058,1.000,,,yes,,,
2018-05-10,9100,9100,1.000,,9100,1.000,,,yes,,,
2018-05-12,9089,9088,1.000,,9088,1.000,,,yes,,,
2018-05-13,9081,9080,1.000,,9079,1.000,,,yes,,,
2018-05-14,9094,9055,0.996,,9054,0.996,,,yes,,,
2018-05-15,9355,9351,1.000,,9351,1.000,,,yes,,,
2018-05-17,10041,10037,1.000,,10037,1.000,,,yes,,,
2018-05-18,9093,9090,1.000,,9090,1.000,,,yes,,,
2018-05-19,15976,15959,0.999,,15924,0.997,,,yes,,,
2018-05-20,6809,6800,0.999,,6800,0.999,,,yes,,,
2018-05-21,9078,9056,0.998,,9056,0.998,,,yes,,,
2018-05-22,7368,7354,0.998,,7354,0.998,,,yes,,,
2018-05-23,6809,6764,0.993,,6764,0.993,,,yes,,,
2018-05-24,6802,6757,0.993,,6757,0.993,,,,,,
2018-05-25,6809,6809,1.000,,1990,0.292,,,,,4827 zero-byte left.tif files,6817
2018-05-26,6808,6808,1.000,,3044,0.447,,,,,3763 zero-byte left.tif files,6807
2018-05-27,6809,6649,0.977,,6532,0.959,,,,,,
2018-05-28,7110,7110,1.000,,7110,1.000,,,yes,,,
2018-05-29,0,,,,,,,,,,Bearing problem,
2018-05-30,0,,,,,,,,,,Bearing problem,
2018-05-31,0,,,,,,,,,,Bearing problem,
2018-06-01,6809,6797,0.998,,6797,0.998,,,yes,,,
2018-06-02,11472,11392,0.993,,11319,0.987,,,yes,,,
2018-06-03,11472,11466,0.999,,11463,0.999,,,yes,,,
2018-06-04,11475,11392,0.993,,11369,0.991,,,yes,,,
2018-06-05,6884,6504,0.945,,6846,0.994,,,yes,,,
2018-06-06,11245,10215,0.908,,11208,0.997,,,yes,,,
2018-06-07,11472,11472,1.000,,11473,1.000,,,yes,,,
2018-06-08,9177,9172,0.999,,5612,,,,yes,,,
2018-06-09,10881,7935,0.729,,,,,,,,Rechecked 8/12,
2018-06-10,11475,10280,0.896,,,,,,,,Rechecked 8/12,
2018-06-11,11416,11405,0.999,,,,,,,,,
2018-06-12,10529,10516,0.999,,,,,,,,,
2018-06-13,"9,180",9179,1.000,,,,,,,,,
2018-06-14,9180,9179,1.000,,,,,,,,,
2018-06-15,8153,6825,0.837,,,,,,,,Rechecked 8/12,
2018-06-16,11475,11444,0.997,,,,,,,,,
2018-06-17,12330,12303,0.998,,,,,,,,,
2018-06-18,13763,13197,0.959,,,,,,,,,
2018-06-19,9180,9156,0.997,,,,,,,,,
2018-06-20,9180,9180,1.000,,,,,,,,,
2018-06-21,13770,13769,1.000,,,,,,,,,
2018-06-22,11474,11474,1.000,,,,,,,,,
2018-06-23,13770,13651,0.991,,,,,,,,,
2018-06-24,11472,10968,0.956,,,,,,,,,
2018-06-25,11477,11317,0.986,,,,,,,,,
2018-06-26,4590,4590,1.000,,,,,,,,,
2018-06-27,9211,9211,1.000,,,,,,,,,
2018-06-28,"11,475",11475,1.000,,,,,,,,,
2018-06-29,9230,9230,1.000,,,,,,,,,
2018-06-30,11475,11472,1.000,,,,,,,,,
2018-07-01,11480,11480,1.000,,11480,1.000,,4,9,,Has multiple scan problem,
2018-07-02,11475,11475,1.000,,11475,1.000,,4,9,,Has multiple scan problem,
2018-07-03,10502,10501,1.000,,,,,4,,,,
2018-07-04,25911,25910,1.000,,25862,0.998,,1,,,Has multiple scan problem,
2018-07-05,23806,23806,1.000,,23806,1.000,,4,3,,Has multiple scan problem,
2018-07-06,4590,4590,1.000,,4590,1.000,,2,6,,,
2018-07-07,11475,11474,1.000,,11474,1.000,,4,9,,Has multiple scan problem,
2018-07-08,11475,11475,1.000,,11456,0.998,,4,9,,Has multiple scan problem,
2018-07-09,11475,11473,1.000,,11473,1.000,,3,9,,Has multiple scan problem,
2018-07-10,6885,6885,1.000,,6885,1.000,,3,6,,,
2018-07-11,11475,11475,1.000,,11475,1.000,,3,6,,,
2018-07-12,6844,6844,1.000,,6126,0.895,,3,6,,,
2018-07-13,11475,11475,1.000,,8764,0.764,,5,,,,
2018-07-14,13770,13770,1.000,,10982,0.798,,3,,,,
2018-07-15,11475,11461,0.999,,1571,0.137,,2,,,,
2018-07-16,9213,9213,1.000,,4001,0.434,,3,,,,
2018-07-17,9180,9179,1.000,,7481,0.815,,3,,,,
2018-07-18,13770,13769,1.000,,12510,0.908,,4,,,,
2018-07-19,11474,11472,1.000,,11467,0.999,,4,9,,,
2018-07-20,13770,13714,0.996,,13713,0.996,,3,9,,,
2018-07-21,,,,,,,,0,,,No scans,
2018-07-22,,,,,,,,0,,,No scans,
2018-07-23,11475,11475,1.000,,11475,1.000,,4,9,,,
2018-07-24,9180,9180,1.000,,,,,3,,,,
2018-07-25,7539,3456,0.458,,,,,3,,,,
2018-07-26,,,#DIV/0!,,,,,3,2,,,
2018-07-27,,,#DIV/0!,,,,,4,3,,,
2018-07-28,,,#DIV/0!,,,,,1,1,,,
2018-07-29,,,#DIV/0!,,,,,1,1,,,
