date,stereoTop,bin2tif,bin2tif%,nrmac,nrmac%,rgbmask,rgbmask%,bin2tif_plot,ruledb_rgbff,ruledb_rgbff%,rgbff,ruledb_nrmacff,ruledb_nrmacff%,nrmacff,ruledb_maskff,ruledb_maskff%,maskff,canopycover,canopycover%
2018-03-31,3478,3459,0.9945370902817712,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
2018-04-01,4266,4255,0.9974214721050164,0,0.0,0,0.0,0,4253,0.999529964747356,0,4130,0.0,0,4130,0.0,0,0,0.0
2018-04-02,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
2018-04-03,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
2018-04-04,6055,6040,0.9975227085053675,0,0.0,0,0.0,0,6040,1.0,0,6016,0.0,0,5980,0.0,0,0,0.0
2018-04-05,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
2018-04-06,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
2018-04-07,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
2018-04-08,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
2018-04-09,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
2018-04-10,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
2018-04-11,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
2018-04-12,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
2018-04-13,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
2018-04-14,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
2018-04-15,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
2018-04-16,808,803,0.9938118811881188,0,0.0,0,0.0,0,802,0.9987546699875467,0,800,0.0,0,527,0.0,0,0,0.0
2018-04-17,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
2018-04-18,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
2018-04-19,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
2018-04-20,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
2018-04-21,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
2018-04-22,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
2018-04-23,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
2018-04-24,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
2018-04-25,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
2018-04-26,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
2018-04-27,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
2018-04-28,540,540,1.0,0,0.0,0,0.0,0,537,0.9944444444444445,0,535,0.0,0,329,0.0,0,0,0.0
2018-04-29,158,158,1.0,0,0.0,0,0.0,0,158,1.0,0,157,0.0,0,157,0.0,0,0,0.0
2018-04-30,403,403,1.0,0,0.0,0,0.0,0,403,1.0,0,380,0.0,0,376,0.0,0,0,0.0
2018-05-01,9262,9232,0.9967609587562082,0,0.0,0,0.0,0,9230,0.9997833622183708,0,46,0.0,0,0,0.0,0,0,0.0
2018-05-02,9104,9072,0.9964850615114236,0,0.0,0,0.0,0,9072,1.0,0,0,0.0,0,0,0.0,0,0,0.0
2018-05-03,9094,9070,0.9973608972949197,0,0.0,0,0.0,0,9067,0.9996692392502756,0,0,0.0,0,0,0.0,0,0,0.0
2018-05-04,9284,9284,1.0,0,0.0,0,0.0,0,9281,0.9996768634209392,0,333,0.0,0,333,0.0,0,0,0.0
2018-05-05,9103,9103,1.0,0,0.0,0,0.0,0,9103,1.0,0,0,0.0,0,0,0.0,0,0,0.0
2018-05-06,9102,9102,1.0,0,0.0,0,0.0,0,9102,1.0,0,0,0.0,0,0,0.0,0,0,0.0
2018-05-07,9096,7398,0.8133245382585752,0,0.0,0,0.0,0,7398,1.0,0,0,0.0,0,0,0.0,0,0,0.0
2018-05-08,9085,9085,1.0,0,0.0,0,0.0,0,9085,1.0,0,0,0.0,0,0,0.0,0,0,0.0
2018-05-09,9062,9062,1.0,0,0.0,0,0.0,0,9062,1.0,0,0,0.0,0,0,0.0,0,0,0.0
2018-05-10,9100,9100,1.0,0,0.0,0,0.0,0,9100,1.0,0,0,0.0,0,0,0.0,0,0,0.0
2018-05-11,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
2018-05-12,9089,9089,1.0,0,0.0,0,0.0,0,9089,1.0,0,0,0.0,0,0,0.0,0,0,0.0
2018-05-13,9081,9081,1.0,0,0.0,0,0.0,0,9080,0.9998898799691663,0,2562,0.0,0,2561,0.0,0,0,0.0
2018-05-14,9094,9094,1.0,0,0.0,0,0.0,0,9094,1.0,0,0,0.0,0,0,0.0,0,0,0.0
2018-05-15,9355,9355,1.0,0,0.0,0,0.0,0,9354,0.999893105291288,0,0,0.0,0,0,0.0,0,0,0.0
2018-05-16,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
2018-05-17,10041,10041,1.0,0,0.0,0,0.0,0,10037,0.9996016333034559,0,879,0.0,0,879,0.0,0,0,0.0
2018-05-18,9093,9093,1.0,0,0.0,0,0.0,0,9092,0.9998900252941824,0,1170,0.0,0,1170,0.0,0,0,0.0
2018-05-19,15976,15976,1.0,0,0.0,0,0.0,0,15881,0.9940535803705558,0,1,0.0,0,1,0.0,0,0,0.0
2018-05-20,6809,6809,1.0,0,0.0,0,0.0,0,6809,1.0,0,0,0.0,0,0,0.0,0,0,0.0
2018-05-21,9078,9078,1.0,0,0.0,0,0.0,0,9078,1.0,0,0,0.0,0,0,0.0,0,0,0.0
2018-05-22,7368,7368,1.0,0,0.0,0,0.0,0,7368,1.0,0,0,0.0,0,0,0.0,0,0,0.0
2018-05-23,6809,6809,1.0,0,0.0,0,0.0,0,6809,1.0,0,0,0.0,0,0,0.0,0,0,0.0
2018-05-24,6802,6802,1.0,0,0.0,0,0.0,0,6802,1.0,0,0,0.0,0,0,0.0,0,0,0.0
2018-05-25,6809,6809,1.0,0,0.0,0,0.0,0,6799,0.9985313555588192,0,1498,0.0,0,1498,0.0,0,0,0.0
2018-05-26,6808,6808,1.0,0,0.0,0,0.0,0,6807,0.9998531139835488,0,0,0.0,0,0,0.0,0,0,0.0
2018-05-27,6809,6809,1.0,0,0.0,0,0.0,0,6809,1.0,0,0,0.0,0,0,0.0,0,0,0.0
2018-05-28,7110,7110,1.0,0,0.0,0,0.0,0,7110,1.0,0,0,0.0,0,0,0.0,0,0,0.0
2018-05-29,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
2018-05-30,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
2018-05-31,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
2018-06-01,6809,6809,1.0,0,0.0,0,0.0,0,6809,1.0,0,6796,0.0,0,2067,0.0,0,0,0.0
2018-06-02,11472,11472,1.0,0,0.0,0,0.0,0,11472,1.0,0,11462,0.0,0,11462,0.0,0,0,0.0
2018-06-03,11472,11472,1.0,0,0.0,0,0.0,0,11470,0.9998256624825662,0,11464,0.0,0,11464,0.0,0,0,0.0
2018-06-04,11475,11475,1.0,0,0.0,0,0.0,0,11471,0.9996514161220044,0,11459,0.0,0,11459,0.0,0,0,0.0
2018-06-05,6884,6884,1.0,0,0.0,0,0.0,0,6880,0.999418942475305,0,6880,0.0,0,6880,0.0,0,0,0.0
2018-06-06,11245,11245,1.0,0,0.0,0,0.0,0,2923,0.2599377501111605,0,2923,0.0,0,2922,0.0,0,0,0.0
2018-06-07,11472,11472,1.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
2018-06-08,9177,9177,1.0,0,0.0,0,0.0,0,5,0.0005448403617740002,0,0,0.0,0,0,0.0,0,0,0.0
