range,x_south,x_north
54,209.857,213.821
53,205.874,209.838
52,201.89,205.854
51,197.906,201.87
50,193.923,197.887
49,189.939,193.903
48,185.955,189.919
47,181.972,185.936
46,177.988,181.952
45,174.005,177.969
44,170.021,173.985
43,166.037,170.001
42,162.054,166.018
41,158.07,162.034
40,154.086,158.05
39,150.103,154.067
38,146.119,150.083
37,142.136,146.1
36,138.152,142.116
35,134.168,138.132
34,130.185,134.149
33,126.201,130.165
32,122.217,126.181
31,118.234,122.198
30,114.25,118.214
29,110.266,114.23
28,106.283,110.247
27,102.299,106.263
26,98.316,102.28
25,94.332,98.296
24,90.348,94.312
23,86.365,90.329
22,82.381,86.345
21,78.397,82.361
20,74.414,78.378
19,70.43,74.394
18,66.446,70.41
17,62.463,66.427
16,58.479,62.443
15,54.496,58.46
14,50.512,54.476
13,46.528,50.492
12,42.545,46.509
11,38.561,42.525
10,34.577,38.541
9,30.594,34.558
8,26.61,30.574
7,22.627,26.591
6,18.643,22.607
5,14.659,18.623
4,10.676,14.64
3,6.692,10.656
2,2.708,6.672
1,-1.275,2.689
