id,sitename
6000002596,USDA-ARS Grazinglands Research Lab
6000001018,MAC Field Scanner Season 1 Field Plot 284 E
6000001019,MAC Field Scanner Season 1 Field Plot 459 E
6000002676,MAC Field Scanner Field Plot 80 Season 2
6000002677,MAC Field Scanner Field Plot 81 Season 2
6000002678,MAC Field Scanner Field Plot 82 Season 2
6000002679,MAC Field Scanner Field Plot 83 Season 2
6000002680,MAC Field Scanner Field Plot 84 Season 2
6000002681,MAC Field Scanner Field Plot 85 Season 2
6000002682,MAC Field Scanner Field Plot 86 Season 2
6000002683,MAC Field Scanner Field Plot 87 Season 2
6000002684,MAC Field Scanner Field Plot 88 Season 2
6000002685,MAC Field Scanner Field Plot 89 Season 2
6000002686,MAC Field Scanner Field Plot 90 Season 2
6000002687,MAC Field Scanner Field Plot 91 Season 2
6000002688,MAC Field Scanner Field Plot 92 Season 2
6000002689,MAC Field Scanner Field Plot 93 Season 2
6000002690,MAC Field Scanner Field Plot 94 Season 2
6000002691,MAC Field Scanner Field Plot 95 Season 2
6000002692,MAC Field Scanner Field Plot 96 Season 2
6000002693,MAC Field Scanner Field Plot 97 Season 2
6000002694,MAC Field Scanner Field Plot 98 Season 2
6000002695,MAC Field Scanner Field Plot 99 Season 2
6000002696,MAC Field Scanner Field Plot 100 Season 2
6000002697,MAC Field Scanner Field Plot 101 Season 2
6000002698,MAC Field Scanner Field Plot 102 Season 2
6000001020,MAC Field Scanner Season 1 Field Plot 43 E
6000002597,MAC Field Scanner Field Plot 1 Season 2
6000002598,MAC Field Scanner Field Plot 2 Season 2
6000002599,MAC Field Scanner Field Plot 3 Season 2
6000002600,MAC Field Scanner Field Plot 4 Season 2
6000002601,MAC Field Scanner Field Plot 5 Season 2
6000002602,MAC Field Scanner Field Plot 6 Season 2
6000002603,MAC Field Scanner Field Plot 7 Season 2
6000002604,MAC Field Scanner Field Plot 8 Season 2
6000002605,MAC Field Scanner Field Plot 9 Season 2
6000002606,MAC Field Scanner Field Plot 10 Season 2
6000002607,MAC Field Scanner Field Plot 11 Season 2
6000002608,MAC Field Scanner Field Plot 12 Season 2
6000002609,MAC Field Scanner Field Plot 13 Season 2
6000002610,MAC Field Scanner Field Plot 14 Season 2
6000002611,MAC Field Scanner Field Plot 15 Season 2
6000002612,MAC Field Scanner Field Plot 16 Season 2
6000002613,MAC Field Scanner Field Plot 17 Season 2
6000002614,MAC Field Scanner Field Plot 18 Season 2
6000002615,MAC Field Scanner Field Plot 19 Season 2
6000002616,MAC Field Scanner Field Plot 20 Season 2
6000002617,MAC Field Scanner Field Plot 21 Season 2
6000002618,MAC Field Scanner Field Plot 22 Season 2
6000002619,MAC Field Scanner Field Plot 23 Season 2
6000002620,MAC Field Scanner Field Plot 24 Season 2
6000001021,MAC Field Scanner Season 1 Field Plot 290 E
6000002621,MAC Field Scanner Field Plot 25 Season 2
6000002622,MAC Field Scanner Field Plot 26 Season 2
6000002623,MAC Field Scanner Field Plot 27 Season 2
6000002624,MAC Field Scanner Field Plot 28 Season 2
6000002625,MAC Field Scanner Field Plot 29 Season 2
6000002626,MAC Field Scanner Field Plot 30 Season 2
6000002627,MAC Field Scanner Field Plot 31 Season 2
6000002628,MAC Field Scanner Field Plot 32 Season 2
6000002629,MAC Field Scanner Field Plot 33 Season 2
6000002630,MAC Field Scanner Field Plot 34 Season 2
6000002631,MAC Field Scanner Field Plot 35 Season 2
6000002632,MAC Field Scanner Field Plot 36 Season 2
6000002633,MAC Field Scanner Field Plot 37 Season 2
6000002634,MAC Field Scanner Field Plot 38 Season 2
6000002635,MAC Field Scanner Field Plot 39 Season 2
6000002636,MAC Field Scanner Field Plot 40 Season 2
6000002637,MAC Field Scanner Field Plot 41 Season 2
6000002638,MAC Field Scanner Field Plot 42 Season 2
6000002639,MAC Field Scanner Field Plot 43 Season 2
6000002640,MAC Field Scanner Field Plot 44 Season 2
6000002641,MAC Field Scanner Field Plot 45 Season 2
6000002642,MAC Field Scanner Field Plot 46 Season 2
6000002643,MAC Field Scanner Field Plot 47 Season 2
6000002644,MAC Field Scanner Field Plot 48 Season 2
6000001022,MAC Field Scanner Season 1 Field Plot 507 E
6000002645,MAC Field Scanner Field Plot 49 Season 2
6000002646,MAC Field Scanner Field Plot 50 Season 2
6000002647,MAC Field Scanner Field Plot 51 Season 2
6000002648,MAC Field Scanner Field Plot 52 Season 2
6000002649,MAC Field Scanner Field Plot 53 Season 2
6000002650,MAC Field Scanner Field Plot 54 Season 2
6000002651,MAC Field Scanner Field Plot 55 Season 2
6000002652,MAC Field Scanner Field Plot 56 Season 2
6000002653,MAC Field Scanner Field Plot 57 Season 2
6000002654,MAC Field Scanner Field Plot 58 Season 2
6000002655,MAC Field Scanner Field Plot 59 Season 2
6000002656,MAC Field Scanner Field Plot 60 Season 2
6000002657,MAC Field Scanner Field Plot 61 Season 2
6000002658,MAC Field Scanner Field Plot 62 Season 2
6000001023,MAC Field Scanner Season 1 Field Plot 44 E
6000000002,MAC Field Scanner Season 1 Field Plot 1
6000000003,MAC Field Scanner Season 1 Field Plot 2
6000000004,MAC Field Scanner Season 1 Field Plot 3
6000000005,MAC Field Scanner Season 1 Field Plot 4
6000000006,MAC Field Scanner Season 1 Field Plot 5
6000000007,MAC Field Scanner Season 1 Field Plot 6
6000000008,MAC Field Scanner Season 1 Field Plot 7
6000000009,MAC Field Scanner Season 1 Field Plot 8
6000000010,MAC Field Scanner Season 1 Field Plot 9
6000000011,MAC Field Scanner Season 1 Field Plot 10
6000000012,MAC Field Scanner Season 1 Field Plot 11
6000000013,MAC Field Scanner Season 1 Field Plot 12
6000000014,MAC Field Scanner Season 1 Field Plot 13
6000000015,MAC Field Scanner Season 1 Field Plot 14
6000000016,MAC Field Scanner Season 1 Field Plot 15
6000000017,MAC Field Scanner Season 1 Field Plot 16
6000000018,MAC Field Scanner Season 1 Field Plot 17
6000000019,MAC Field Scanner Season 1 Field Plot 18
6000001024,MAC Field Scanner Season 1 Field Plot 249 E
6000000020,MAC Field Scanner Season 1 Field Plot 19
6000000021,MAC Field Scanner Season 1 Field Plot 20
6000000022,MAC Field Scanner Season 1 Field Plot 21
6000000001,Maricopa Scanner Field
6000000023,MAC Field Scanner Season 1 Field Plot 22
6000000024,MAC Field Scanner Season 1 Field Plot 23
6000000025,MAC Field Scanner Season 1 Field Plot 24
6000000026,MAC Field Scanner Season 1 Field Plot 25
6000000027,MAC Field Scanner Season 1 Field Plot 26
6000000028,MAC Field Scanner Season 1 Field Plot 27
6000000029,MAC Field Scanner Season 1 Field Plot 28
6000000030,MAC Field Scanner Season 1 Field Plot 29
6000000031,MAC Field Scanner Season 1 Field Plot 30
6000000032,MAC Field Scanner Season 1 Field Plot 31
6000000033,MAC Field Scanner Season 1 Field Plot 32
6000000126,MAC Field Scanner Season 1 Field Plot 33
6000000127,MAC Field Scanner Season 1 Field Plot 34
6000000130,MAC Field Scanner Season 1 Field Plot 35
6000000133,MAC Field Scanner Season 1 Field Plot 36
6000000136,MAC Field Scanner Season 1 Field Plot 37
6000000139,MAC Field Scanner Season 1 Field Plot 38
6000000142,MAC Field Scanner Season 1 Field Plot 39
6000000145,MAC Field Scanner Season 1 Field Plot 40
6000000148,MAC Field Scanner Season 1 Field Plot 41
6000001025,MAC Field Scanner Season 1 Field Plot 485 E
6000000151,MAC Field Scanner Season 1 Field Plot 42
6000000154,MAC Field Scanner Season 1 Field Plot 43
6000000157,MAC Field Scanner Season 1 Field Plot 44
